"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31748","Registration link test","chromium","2026-08-28","broken","2026-08-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7826","Auto dropdown visibility test","chromium","2026-08-28","passed","2026-08-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10192","Search field positive test","chromium","2026-08-28","passed","2026-08-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","16715","Nav bar test","chromium","2026-08-28","passed","2026-08-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8224","Main paige working","Mobile Chrome","2026-08-28","passed","2026-08-28","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","5446","Search field negative test","chromium","2026-08-28","passed","2026-08-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9996","Weather date test","chromium","2026-08-28","passed","2026-08-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7011","Logo test","chromium","2026-08-28","passed","2026-08-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31780","Footer links test","chromium","2026-08-28","broken","2026-08-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31828","Login negative scenario test","chromium","2026-08-28","broken","2026-08-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11649","Main paige working","chromium","2026-08-28","passed","2026-08-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","13132","Login button test","chromium","2026-08-28","failed","2026-08-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31730","Login positive scenario test","chromium","2026-08-28","broken","2026-08-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
