"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7575","Main paige working","Mobile Chrome","2026-06-02","passed","2026-06-02","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","6704","Login positive scenario test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5127","Auto dropdown visibility test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9342","Search field positive test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7542","Weather date test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","14988","Footer links test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7199","Login negative scenario test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5092","Search field negative test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","18707","Nav bar test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5970","Login button test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8966","Main paige working","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6523","Logo test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6047","Registration link test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
